"Formulation_ID","API concentration final(%)","Chitosan","Alginate","Calcium chloride","TPP","Surfactant_MW","Surfactant_HLB","Surfactant  Concentratin (%)","Particle_Size (nm)","Encapsulation_Efficiency  (%)","Loading_capacity (%)","Zeta_Potential (clean)","SlogP","TPSA","AMW","NumRotatableBonds","NumHBD","NumHBA","NumAromaticRings","NumSaturatedRings","NumAliphaticRings"
1,0.00344827586206897,0.00103448275862069,0.0413793103448276,0.00703448275862069,0,12600,22,0.517241379310345,226,67.8,5.2,-28.5,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
2,0.00344827586206897,0.00413793103448276,0.0413793103448276,0.00703448275862069,0,12600,22,0.517241379310345,390,39.2,2.7,-19.2,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
3,0.0172413793103448,0.00103448275862069,0.0413793103448276,0.00703448275862069,0,12600,22,0.517241379310345,316,31.2,13.1,-28.5,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
4,0.0172413793103448,0.00413793103448276,0.0413793103448276,0.00703448275862069,0,12600,22,0.517241379310345,536,28.2,9.3,-18.4,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
5,0.0103448275862069,0.00103448275862069,0.0413793103448276,0.00703448275862069,0,12600,22,0.344827586206897,212,66.8,14.2,-29.2,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
6,0.0103448275862069,0.00413793103448276,0.0413793103448276,0.00703448275862069,0,12600,22,0.344827586206897,356,43.1,12.8,-19.7,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
7,0.0103448275862069,0.00103448275862069,0.0413793103448276,0.00703448275862069,0,12600,22,0.689655172413793,326,42.2,10,-28.8,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
8,0.0103448275862069,0.00413793103448276,0.0413793103448276,0.00703448275862069,0,12600,22,0.689655172413793,552,31.6,7.2,-17.2,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
9,0.00344827586206897,0.00206896551724138,0.0413793103448276,0.00703448275862069,0,12600,22,0.344827586206897,257,75.7,5.8,-25.6,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
10,0.0172413793103448,0.00206896551724138,0.0413793103448276,0.00703448275862069,0,12600,22,0.344827586206897,345,55.7,18.9,-22.1,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
11,0.00344827586206897,0.00206896551724138,0.0413793103448276,0.00703448275862069,0,12600,22,0.689655172413793,372,58.7,5.5,-21.5,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
12,0.0172413793103448,0.00206896551724138,0.0413793103448276,0.00703448275862069,0,12600,22,0.689655172413793,518,28.3,9.1,-23.5,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
13,0.0103448275862069,0.00206896551724138,0.0413793103448276,0.00703448275862069,0,12600,22,0.517241379310345,335,75.7,16.6,-26.4,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
14,0.0103448275862069,0.00206896551724138,0.0413793103448276,0.00703448275862069,0,12600,22,0.517241379310345,339,78.2,16.7,-26.7,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
15,0.0103448275862069,0.00206896551724138,0.0413793103448276,0.00703448275862069,0,12600,22,0.517241379310345,334,77.8,16.4,-25.8,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0
16,0.00344827586206897,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,0.344827586206897,279,38.71,3.43,-27.8,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
17,0.00344827586206897,0.00620689655172414,0.0413793103448276,0.00924137931034483,0,12600,22,0.344827586206897,434,17.08,1.41,-19.8,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
18,0.00344827586206897,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,1.03448275862069,308,25.42,2.14,-17.5,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
19,0.00344827586206897,0.00620689655172414,0.0413793103448276,0.00924137931034483,0,12600,22,1.03448275862069,645,13.64,1.06,-12.4,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
20,0.00172413793103448,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,285,24.52,1.25,-24.9,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
21,0.00172413793103448,0.00620689655172414,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,558,19.09,0.76,-16.5,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
22,0.00517241379310345,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,340,39.97,4.45,-23.2,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
23,0.00517241379310345,0.00620689655172414,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,585,16.55,2.83,-17.1,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
24,0.00172413793103448,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,0.344827586206897,427,35.16,1.16,-25.7,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
25,0.00172413793103448,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,1.03448275862069,615,23.38,2.48,-13.4,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
26,0.00517241379310345,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,0.344827586206897,482,40.12,5.25,-20.8,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
27,0.00517241379310345,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,1.03448275862069,607,37.37,3.21,-17.2,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
28,0.00344827586206897,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,505,45.11,3.78,-21,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
29,0.00344827586206897,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,529,43.44,3.51,-20.6,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
30,0.00344827586206897,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,519,44.31,3.57,-22.3,4.938800000000004,160.95999999999998,624.6390000000004,17,1,12,2,0,0
31,0.00454545454545455,0.227272727272727,0.272727272727273,0,0,1310,15,0.281818181818182,109,66,,,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3
32,0.00454545454545455,0.363636363636364,0.454545454545454,0,0,1310,15,0.281818181818182,296,79,,,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3
33,0.00454545454545455,0.363636363636364,0.0909090909090909,0,0,1310,15,0.281818181818182,110,41,,,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3
34,0.00454545454545455,0.42012,0.272727272727273,0,0,1310,15,0.281818181818182,219,56,,,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3
35,0.00454545454545455,0.0909090909090909,0.454545454545454,0,0,1310,15,0.281818181818182,309,87,,,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3
36,0.00454545454545455,0.227272727272727,0.272727272727273,0,0,1310,15,0.281818181818182,118,71,,,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3
37,0.00454545454545455,0.227272727272727,0.272727272727273,0,0,1310,15,0.281818181818182,132,67,,,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3
38,0.00454545454545455,0.227272727272727,0.0155975454545455,0,0,1310,15,0.281818181818182,206,37,,,4.585600000000006,72.83000000000001,418.5740000000003,6,1,5,0,1,3
